id,Title,Journal,Year,Abstract,Keywords,Recommend
74,Three-Dimensional Ultrasound: From Acquisition to Visualization and From Algorithms to Systems,"Biomedical Engineering, IEEE Reviews in",2009,"One of the key additions to clinical ultrasound (US) systems during the last decade was the incorporation of three-dimensional (3-D) imaging as a native mode. Compared to previous-generation 3-D US imaging systems, today's systems offer easier volume acquisition and deliver superior image quality with various visualization options. This has come as a result of many technological advances and innovations in transducer design, electronics, computer architecture, and algorithms. While freehand 3-D US techniques continue to be used, mechanically scanned and/or two-dimensional (2-D) matrix-array transducers are increasingly adopted, enabling higher volume rates and easier acquisition. More powerful computing engines with instruction-level and data-level parallelism and high-speed memory access support new and improved 3-D visualization capabilities. Many clinical US systems today have a 3-D option that offers interactive acquisition and display. In this paper, we cover the innovations of the last decade that have enabled the current 3-D US systems from acquisition to visualization, with emphasis on transducers, algorithms, and computation.",3-D ultrasound 4-D ultrasound algorithms systems transducers volume rendering,
75,Performance of ILU preconditioning techniques in simulating anisotropic diffusion in the human brain,Future Generation Computer Systems,2004,"We conduct simulations for the unsteady state anisotropic diffusion process in the human brain by discretizing the governing diffusion equation on a face-centered cubic grid and adopting a high performance differential-algebraic equation solver, IDA, to deal with the resulting large-scale system of DAEs. Incomplete LU preconditioning techniques are used with the GMRES method to accelerate the convergence rate of the iterative solution. We then investigate and compare the efficiency and effectiveness of a number of ILU preconditioners, and find out that the ILUT with a dual dropping strategy gives the best overall performance when it is provided with the optimum choices of the fill-in parameter and the threshold dropping tolerance.",Anisotropic diffusion DT-MRI FCC grid Preconditioning,
76,Low cost scaleable parallel image processing system,Microprocessors and Microsystems,2001,The design and application of a DSP-based Parallel Image Processing system is presented. A scaleable system based around a TMS320C40 DSP Master–Slave architecture is shown to be a suitable vehicle for industrial inspection problems. Custom vision bus and parallel communication channels are used to pass data between local and shared memory in the image processing system. The target application of SMT solder bond inspection required the fast processing of 2-D FFTs. Analysis of the system's suitability to this task is presented followed by actual results from a three-processor system. The target inspection rate of 100 SMT solder joints per second can be met.,Image processing Parallel architectures PCB inspection Industrial inspection 2D FFT TMS320C40 DSP,
77,Parallel simulation of anisotropic diffusion with human brain DT-MRI Data,Computers & Structures,2004,"We conduct simulations for the 3D unsteady state anisotropic diffusion process with DT-MRI data in the human brain by discretizing the governing diffusion equation on Cartesian grid and adopting a high performance differential–algebraic equation (DAE) solver, the parallel version of implicit differential–algebraic (IDA) solver, to tackle the resulting large scale system of DAEs. Parallel preconditioning techniques including sparse approximate inverse and banded-block-diagonal preconditioners are used with the GMRES method to accelerate the convergence rate of the iterative solution. We then investigate and compare the efficiency and effectiveness of the two parallel preconditioners. The experimental results of the diffusion simulations on a parallel supercomputer show that the sparse approximate inverse preconditioning strategy, which is robust and efficient with good scalability, gives a much better overall performance than the banded-block-diagonal preconditioner.",Anisotropic diffusion simulation Diffusion tensor magnetic resonance imaging (DT-MRI) Implicit differential–algebraic solver Parallel preconditioning techniques Sparse approximate inverse preconditioner Banded-block-diagonal preconditioner,
78,Tumor-Cut: Segmentation of Brain Tumors on Contrast Enhanced MR Images for Radiosurgery Applications,"Medical Imaging, IEEE Transactions on",2012,"In this paper, we present a fast and robust practical tool for segmentation of solid tumors with minimal user interaction to assist clinicians and researchers in radiosurgery planning and assessment of the response to the therapy. Particularly, a cellular automata (CA) based seeded tumor segmentation method on contrast enhanced T1 weighted magnetic resonance (MR) images, which standardizes the volume of interest (VOI) and seed selection, is proposed. First, we establish the connection of the CA-based segmentation to the graph-theoretic methods to show that the iterative CA framework solves the shortest path problem. In that regard, we modify the state transition function of the CA to calculate the exact shortest path solution. Furthermore, a sensitivity parameter is introduced to adapt to the heterogeneous tumor segmentation problem, and an implicit level set surface is evolved on a tumor probability map constructed from CA states to impose spatial smoothness. Sufficient information to initialize the algorithm is gathered from the user simply by a line drawn on the maximum diameter of the tumor, in line with the clinical practice. Furthermore, an algorithm based on CA is presented to differentiate necrotic and enhancing tumor tissue content, which gains importance for a detailed assessment of radiation therapy response. Validation studies on both clinical and synthetic brain tumor datasets demonstrate 80%-90% overlap performance of the proposed algorithm with an emphasis on less sensitivity to seed initialization, robustness with respect to different and heterogeneous tumor types, and its efficiency in terms of computation time.",biomedical MRI brain cancer cellular automata graph theory image enhancement image segmentation iterative methods medical image processing radiation therapy sensitivity surgery tumours T1 weighted magnetic resonance images brain tumors cellular automata contrast enhanced MR images graph theory image segmentation iterative CA framework level set surface minimal user interaction necrotic tissue radiation therapy radiosurgery robustness seed selection sensitivity sensitivity parameter shortest path problem spatial smoothness state transition function tumor cut tumor probability map volume of interest Automata Biomedical imaging Image edge detection Image segmentation Magnetic resonance imaging Planning Tumors Brain tumor segmentation cellular automata contrast enhanced magnetic resonance imaging (MRI) necrotic tissue segmentation radiosurgery radiotherapy seeded segmentation shortest paths Algorithms Brain Brain Neoplasms Databases Factual Humans Magnetic Resonance Imaging Models Biological Radiosurgery Radiotherapy Computer-Assisted Reproducibility of Results,
79,Efficient FPGA implementation of DWT and modified SPIHT for lossless image compression,Journal of Systems Architecture,2007,"In this paper, we present an implementation of the image compression technique set partitioning in hierarchical trees (SPIHT) in programmable hardware. The lifting based Discrete Wavelet Transform (DWT) architecture has been selected for exploiting the correlation among the image pixels. In addition, we provide a study on what storage elements are required for the wavelet coefficients. A modified SPIHT (Set Partitioning in Hierarchical Trees) algorithm is presented for encoding the wavelet coefficients. The modifications include a simplification of coefficient scanning process, use of a 1-D addressing method instead of the original 2-D arrangement for wavelet coefficients and a fixed memory allocation for the data lists instead of the dynamic allocation required in the original SPIHT. The proposed algorithm has been illustrated on both the 2-D Lena image and a 3-D MRI data set and is found to achieve appreciable compression with a high peak-signal-to-noise ratio (PSNR).",Medical image compression Wavelet transform SPIHT Lifting scheme PSNR,
80,Quantitative characterization of lung disease,Computerized Medical Imaging and Graphics,2005,"The increase in prevalence, incidence and variety of pulmonary diseases has precipitated the need for more non-invasive quantitative assessment of structure/function relationships in the lung. This need requires concise description not only of lung anatomy but also of associated underlying mechanics of pulmonary function, as well as deviation from normal in specific diseases. This can be facilitated through the use of adaptive deformable surface models of the lung at end inspiratory and expiratory volumes. Lung surface deformation may be used to represent tissue excursion, which can characterize both global and regional lung mechanics. In this paper, we report a method for robust determination and visualization of pulmonary structure and function using clinical CT scans. The method provides both intuitive 3D parametric visualization and objective quantitative assessment of lung structure and associated function, in both normal and pathological cases.",Lung disease CT imaging Pulmonary mechanics 3D visualization Deformable models,
81,Visualization of perfusion abnormalities with GPU-based volume rendering,Computers & Graphics,2012,"This article presents an innovative GPU-based solution for visualization of perfusion abnormalities detected in dynamic brain perfusion computer tomography (dpCT) maps in an augmented-reality environment. This new graphic algorithm is a vital part of a complex system called DMD (detection measure and description), which was recently proposed by the authors. The benefit of this algorithm over previous versions is its ability to operate in real time to satisfy the needs of augmented reality simulation. The performance speed (in frames per second) of six volume-rendering algorithms was determined for models with and without semi-transparent pixels.",Augmented reality Dynamic brain perfusion Pattern recognition Diagnostic support system,
82,A system for detecting and describing pathological changes using dynamic perfusion computer tomography brain maps,Computers in Biology and Medicine,2011,"This paper presents a novel method of detecting and describing pathological changes that can be visualized on dynamic computer tomography brain maps (perfusion CT). The system was tested on a set of dynamic perfusion computer tomography maps. Each set consisted of two perfusion maps (CBF, CBV and TTP for testing the irregularity detection algorithm) and one CT brain scan (for the registration algorithm) from 8 different patients with suspected strokes. In 36 of the 84 brain maps, abnormal perfusion was diagnosed. The results of the algorithm were compared with the findings of a team of two radiologists. All of the CBF and CBV maps that did not show a diagnosed asymmetry were classified correctly (i.e. no asymmetry was detected). In four of the TTP maps the algorithm found asymmetries, which were not classified as irregularities in the medical diagnosis; 84.5% of the maps were diagnosed correctly (85.7% for the CBF, 85.7% for the CBV and 82.1% for the TTP); 75% of the errors in the CBF maps and 100% of the errors in the CBV and the TTP maps were caused by the excessive detection of asymmetry regions. Errors in the CBFs and the CBVs were eliminated in cases in which the symmetry axis was selected manually. Subsequently, 96.4% of the CBF maps and 100% of the CBV maps were diagnosed correctly.",Brain change detection Asymmetry detection Brain atlas Dynamic brain perfusion CT Computer-aided diagnosis Image interpretation,
83,Enhancing throughput for streaming applications running on cluster systems,Journal of Parallel and Distributed Computing,2013," The exploitation of throughput in a parallel application that processes an input data stream is a difficult challenge. For typical coarse-grain applications, where the computation time of tasks is greater than their communication time, the maximum achievable throughput is determined by the maximum task computation time. Thus, the improvement in throughput above this maximum would eventually require the modification of the source code of the tasks. In this work, we address the improvement of throughput by proposing two task replication methodologies that have the target throughput to be achieved as an input parameter. They proceed by generating a new task graph structure that permits the target throughput to be achieved. The first replication mechanism, named DPRM (Data Parallel Replication Mechanism), exploits the inner task data parallelism. The second mechanism, named TCRM (Task Copy Replication Mechanism), creates new execution paths inside the application task graph structure that allows more than one instance of data to be processed concurrently. We evaluate the effectiveness of these mechanisms with three real applications executed in a cluster system: the MPEG2 video compressor, the IVUS (Intra-Vascular Ultra-Sound) medical image application and the BASIZ (Bright and SAtured Images Zone) video processing application. In all these cases, the obtained throughput was greater after applying the proposed replication mechanism than what the application could provide with the original implementation.",Streaming applications Pipeline execution Data parallelism Task parallelism Task replication mechanisms,
84,Group-wise construction of reduced models for understanding and characterization of pulmonary blood flows from medical images,Medical Image Analysis,2014," 3D computational fluid dynamics (CFD) in patient-specific geometries provides complementary insights to clinical imaging, to better understand how heart disease, and the side effects of treating heart disease, affect and are affected by hemodynamics. This information can be useful in treatment planning for designing artificial devices that are subject to stress and pressure from blood flow. Yet, these simulations remain relatively costly within a clinical context. The aim of this work is to reduce the complexity of patient-specific simulations by combining image analysis, computational fluid dynamics and model order reduction techniques. The proposed method makes use of a reference geometry estimated as an average of the population, within an efficient statistical framework based on the currents representation of shapes. Snapshots of blood flow simulations performed in the reference geometry are used to build a POD (Proper Orthogonal Decomposition) basis, which can then be mapped on new patients to perform reduced order blood flow simulations with patient specific boundary conditions. This approach is applied to a data-set of 17 tetralogy of Fallot patients to simulate blood flow through the pulmonary artery under normal (healthy or synthetic valves with almost no backflow) and pathological (leaky or absent valve with backflow) conditions to better understand the impact of regurgitated blood on pressure and velocity at the outflow tracts. The model reduction approach is further tested by performing patient simulations under exercise and varying degrees of pathophysiological conditions based on reduction of reference solutions (rest and medium backflow conditions respectively).",Computational fluid dynamics Pulmonary artery Tetralogy of Fallot Atlas construction Proper orthogonal decomposition,
85,Robust finite impulse response beamforming applied to medical ultrasound,"Ultrasonics, Ferroelectrics, and Frequency Control, IEEE Transactions on",2009,"We previously described a beamformer architecture that replaces the single apodization weights on each receive channel with channel-unique finite impulse response (FIR) filters. The filter weights are designed to optimize the contrast resolution performance of the imaging system. Although the FIR beamformer offers significant gains in contrast resolution, the beamformer suffers from low sensitivity, and its performance rapidly degrades in the presence of noise. In this paper, a new method is presented to improve the robustness of the FIR beamformer to electronic noise as well as variation or uncertainty in the array response. A method is also described that controls the sidelobe levels of the FIR beamformer's spatial response by applying an arbitrary weighting function in the filter design algorithm. The robust FIR beamformer is analyzed using a generalized cystic resolution metric that quantifies a beamformer's clinical imaging performance as a function of cyst size and channel input SNR. Fundamental performance limits are compared between 2 robust FIR beamformer's the dynamic focus FIR (DF-FIR) beamformer and the group focus FIR (GF-FIR) beamformer-the conventional delay-and-sum (DAS) beamformer, and the spatial-matched filter (SMF) beamformer. Results from this study show that the new DF- and GF-FIR beamformers are more robust to electronic noise compared with the optimal contrast resolution FIR beamformer. Furthermore, the added robustness comes with only a slight loss in cystic resolution. Results from the generalized cystic resolution metric show that a 9-tap robust FIR beamformer outperforms the SMF and DAS beamformer until receive channel input SNR drops below -5 dB, whereas the 9-tap optimal contrast resolution beamformer's performance deteriorates around 50 dB SNR. The effects of moderate phase aberrations, characterized by an a priori root-mean-square strength of 28 ns and an a priori full-width at half-maximum correlation length of 3.6 mm, are inves- igated on the robust FIR beamformers. Full sets of robust FIR beamformer filter weights are constructed using an in silico model scanner and the L14-5/38 mm probe. Using the derived weights, a series of simulated point target and anechoic cyst B-mode images are generated to investigate further the potential increases in contrast resolution when using the robust FIR beamformers. Under the investigated conditions, the 7-tap optimal contrast resolution beamformer and the 7-tap robust beamformer with added SNR constraint increase lesion detectability by 247 and 137% compared with the conventional DAS beamformer, respectively. Finally, experimental phantom and in vivo images are produced using this novel receive architecture. The simulated and experimental images clearly show a reduction in clutter and an increase in contrast resolution compared with the conventionally beamformed images. This novel receive beamformer can be applied to any conventional ultrasound system where the system response is reasonably well characterized.",FIR filters aberrations biomedical equipment biomedical ultrasonics clutter image resolution image scanners mean square error methods medical image processing spatial filters 7-tap robust beamformer 9-tap optimal contrast resolution beamformer's performance DAS beamformer FIR beamformer filter SMF beamformer anechoic cyst B-mode image beamformer clinical imaging performance channel input signal-to-noise ratio channel-unique finite impulse response clutter reduction delay-and-sum beamformer experimental phantom generalized cystic resolution half-maximum correlation in silico model scanner medical ultrasound in vivo images moderate phase aberration optimal contrast resolution FIR beamformer robust FIR beamformer robust finite impulse response beamforming root-mean-square method simulated point target spatial-matched filter Array signal processing Biomedical imaging Design optimization Finite impulse response filter Focusing Image resolution Noise robustness Performance gain Spatial resolution Ultrasonic imaging Algorithms Image Enhancement Image Interpretation Computer-Assisted Imaging Three-Dimensional Numerical Analysis Computer-Assisted Reproducibility of Results Sensitivity and Specificity Signal Processing Computer-Assisted,
86,Classification of cancer cell death with spectral dimensionality reduction and generalized eigenvalues,Artificial Intelligence in Medicine,2011,"Objective Accurate cell death discrimination is a time consuming and expensive process that can only be performed in biological laboratories. Nevertheless, it is very useful and arises in many biological and medical applications. Methods and material Raman spectra are collected for 84 samples of A549 cell line (human lung cancer epithelia cells) that has been exposed to toxins to simulate the necrotic and apoptotic death. The proposed data mining approach for the multiclass cell death discrimination problem uses a multiclass regularized generalized eigenvalue algorithm for classification (multiReGEC), together with a dimensionality reduction algorithm based on spectral clustering. Results The proposed algorithmic scheme can classify A549 lung cancer cells from three different classes (apoptotic death, necrotic death and control cells) with 97.78% ± 0.047 accuracy versus 92.22 ± 0.095 without the proposed feature selection preprocessing. The spectrum areas depicted by the algorithm corresponds to the 〉C O bond from the lipids and the lipid bilayer. This chemical structure undergoes different change of state based on cell death type. Further evidence of the validity of the technique is obtained through the successful classification of 7 cell spectra that undergo hyperthermic treatment. Conclusions In this study we propose a fast and automated way of processing Raman spectra for cell death discrimination, using a feature selection algorithm that not only enhances the classification accuracy, but also gives more insight in the undergoing cell death process.",Spectral clustering Dimensionality reduction Generalized eigenvalue classification Raman spectroscopy Cancer treatment,
87,Efficient parallel reduction to bidiagonal form,Parallel Computing,1999,"Most methods for calculating the SVD (singular value decomposition) require to first bidiagonalize the matrix. The blocked reduction of a general, dense matrix to bidiagonal form, as implemented in ScaLAPACK, does about one half of the operations with BLAS3. By subdividing the reduction into two stages dense &rarr banded and banded &rarr bidiagonal with cubic and quadratic arithmetic costs, respectively, we are able to carry out a much higher portion of the calculations in matrix-matrix multiplications. Thus, higher performance can be expected. This paper presents and compares three parallel techniques for reducing a full matrix to banded form. (The second reduction stage is described in another paper [B. Lang, Parallel Comput. 22 (1996) 1-18]). Numerical experiments on the Intel Paragon and IBM SP/1 distributed memory parallel computers demonstrate that the two-stage reduction approach can be significantly superior if only the singular values are required.",Parallel algorithms Computational complexity Linear equations Matrix algebra Parallel processing systems,
88,Web based prediction for diabetes treatment,Future Generation Computer Systems,2011,"Diabetics need continuous support during their therapy because the clinical treatment could be improved in the medical cures;the doctors need to share the new information and to support their patients in an interactive way. In this paper, we describe a web based software tool able to perform predictions on the future glycaemia level of the patients for a specific time horizon; to perform what-if analysis, showing how the glycaemia level could vary if some parameters are changed (either in the diet of the patient or in the clinical treatment); to share information and suggestions, creating a virtual community between specialists and patients; to inform users about their health condition, by a classification algorithm and to allow the patient to maintain a daily diary and to know about the evolution of the health condition. The system merges software engineering and Operation Research methods and could become a valid interactive support for patients and specialists.",Medical information system Optimization Decision support system Web based services,
89,Multi-elitist immune clonal quantum clustering algorithm,Neurocomputing,2013,"The quantum clustering (QC) algorithm suffers from the issues of getting stuck in local extremes and computational bottleneck when handling large-size image segmentation. By embedding a potential evolution formula into affinity function calculation of multi-elitist immune clonal optimization, and updating the cluster center based on the distance matrix, the multi-elitist immune clonal quantum clustering algorithm (ME-ICQC) is proposed in this paper. In the proposed framework, elitist population is composed of the individuals with high affinity, which is considered to play dominant roles in the evolutionary process. It can help to find the global optimal solution or near-optimal solution for most tested tasks. The diversity of population can be well maintained by general subgroup evolution of ME-ICQC. These different functions are implemented by the dissimilar mutation strategies or crossover operators. The bi-group exchanges the information of excellence antibodies using the hypercube co-evolution operation. Compared with existing algorithms, the ME-ICQC achieves an improved clustering accuracy with more stable convergence, but it is not significantly better than other optimization techniques combined with QC. Also, the experimental results also show that our algorithm performs well on multi-class, parameters-sensitive and large-size datasets.",Quantum clustering Clonal selection Multi-elitist co-evolution Adaptive mutation Image segmentation,
90,A tool for analytical simulation of B-splines surface deformation,Computer-Aided Design,2013,"A non-planar surface deformation model based on B-splines as finite elements is presented here. The model includes the variational formulation, the system of ordinary differential equations derived from it and its analytical solution. The model has been checked for a variety of surfaces such as tiles, half spheres, planes, etc. Furthermore, we are able to solve the system analytically by only moving a reduced number of control points to deform the surface. This makes the method faster, since numerical methods are no longer necessary.",Computer graphics Surface deformation Finite elements B-splines,
91,Large-scale functional MRI study on a production grid,Future Generation Computer Systems,2010,"Functional magnetic resonance imaging (fMRI) analysis is usually carried out with standard software packages (e.g., FSL and SPM) implementing the General Linear Model (GLM) computation. Yet, the validity of an analysis may still largely depend on the parameterization of those tools, which has, however, received little attention from researchers. In this paper we study the influence of three of those parameters, namely (i) the size of the spatial smoothing kernel, (ii) the hemodynamic response function delay and (iii) the degrees of freedom of the fMRI-to-anatomical scan registration. In addition, two different values of acquisition parameters (echo times) are compared. The study is performed on a data set of 11 subjects, sweeping a significant range of parameters. It involves almost one CPU year and produces 1.4 Terabytes of data. Thanks to a grid deployment of the FSL FEAT application, this compute and data intensive problem can be handled and the execution time is reduced to less than a week. Results suggest that optimal parameter values for detecting activation in the amygdalae deviate from the default typically adopted in such studies. Moreover, robust results indicate no significant difference between brain activation maps obtained with the two echo times.",Large-scale experiment Production grid fMRI,
92,A Service-Oriented Architecture enabling dynamic service grouping for optimizing distributed workflow execution,Future Generation Computer Systems,2008,"In this paper, we describe a Service-Oriented Architecture allowing the optimization of the execution of service workflows. We discuss the advantages of the service-oriented approach with regard to the enactment of scientific applications on a grid infrastructure. Based on the development of a generic Web-Services wrapper, we show how the flexibility of our architecture enables dynamic service grouping for optimizing the application execution time. We demonstrate performance results on a real medical imaging application. On a production grid infrastructure, the optimization proposed introduces a significant speed-up (from 1.2 to 2.9) when compared to a traditional execution.",Grid workflows Service-Oriented Architecture Legacy code wrapper Service grouping,
93,A model of pilot-job resource provisioning on production grids,Parallel Computing,2011,"Pilot-job systems emerged as a computation paradigm to cope with the heterogeneity of large-scale production grids, greatly reducing fault ratios and middleware overheads. They are now widely adopted to sustain the computation of scientific applications on such platforms. However, a model of pilot-job systems is still lacking, making it difficult to build realistic experimental setups for their study (e.g. simulators or controlled platforms). The variability of production conditions, background loads and resource characteristics further complicate this issue. This paper presents a model of pilot-job resource provisioning. Based on a probabilistic modeling of pilot submission and registration, the number of pilots registered to the application host and the makespan of a divisible-load application are derived. The model takes into account job failures and it does not make any assumption on the characteristics of the computing resources, on the scheduling algorithm or on the background load. Only a minimally invasive monitoring of the grid is required. The model is evaluated in production conditions, using logs acquired on a pilot-job server deployed in the biomed virtual organization of the European Grid Infrastructure. Experimental results show that the model is able to accurately describe the number of registered pilots along time periods ranging from a few hours to a few days and in different pilot submission conditions.",Production grids Pilot-job systems Probabilistic modeling,
94,Least-squares smoothing of 3D digital curves,Real-Time Imaging,2005,"In this paper an efficient procedure for 3D digital curve smoothing is presented. It is described by linear operators which allow to perform the constrained, position invariant, least-squares smoothing of 3D digital curves minimizing the undersampling, digitizing and quantizing error and to calculate various curve characteristics and invariants related to the original digitized curve. They are represented by sparse symmetric circulant Toeplitz matrices with integer coefficients which can be efficiently realized in serial as well as in parallel manner.",,
95,Interactive volume reconstruction and measurement on the grid,Methods of Information in Medicine,2005,"Objectives: To prove the advantages of integrating grid computing within medical image analysis software, and to discuss the technological, sociological and health care-related issues. Methods. Presentation of an instant volume reconstruction and measurement tool (PTM3D) used in clinical practice, including percutaneous nephrolithotomy examples; description of a parallel implementation of volume reconstruction, evaluation of this implementation on lung and body reconstruction, presentation of the technical limitations for clinical use and description and discussion of a prototype grid implementation. Results: Volume reconstruction can broaden its medical scope and use by accessing high-performance computing systems; interactive exploration of medical images can co-exist with the usual batch workload of grid systems; the EGEE grid middleware offers some of the required core services; a fully adequate computing environment needs further evolution to integrate real-time constraints. Conclusions: Clinical experiments of a grid-enabled PTM3D become possible. Widespread adoption of grid technology in the medical images analysis field will benefit from this early user"" project. Convergences appear between two broadly different fields", towards the need of a smooth integration of the new resources offered by grid systems into the everyday tools of their respective end-users. It can be expected that the convergence will mature towards truly interactive grids,
96,Compactly Supported Radial Basis Functions Based Collocation Method for Level-Set Evolution in Image Segmentation,"Image Processing, IEEE Transactions on",2007,"The partial differential equation driving level-set evolution in segmentation is usually solved using finite differences schemes. In this paper, we propose an alternative scheme based on radial basis functions (RBFs) collocation. This approach provides a continuous representation of both the implicit function and its zero level set. We show that compactly supported RBFs (CSRBFs) are particularly well suited to collocation in the framework of segmentation. In addition, CSRBFs allow us to reduce the computation cost using a kd-tree-based strategy for neighborhood representation. Moreover, we show that the usual reinitialization step of the level set may be avoided by simply constraining the l1-norm of the CSRBF parameters. As a consequence, the final solution is topologically more flexible, and may develop new contours (i.e., new zero-level components), which are difficult to obtain using reinitialization. The behavior of this approach is evaluated from numerical simulations and from medical data of various kinds, such as 3-D CT bone images and echocardiographic ultrasound images.",finite difference methods image representation image segmentation partial differential equations radial basis function networks trees (mathematics) collocation method compactly supported RBF compactly supported radial basis functions finite differences schemes image segmentation kd-tree-based strategy level-set evolution neighborhood representation partial differential equation Biomedical imaging Bones Computational efficiency Computed tomography Finite difference methods Image segmentation Level set Numerical simulation Partial differential equations Ultrasonic imaging Active contours collocation deformable models level sets partial differential equations (PDEs) radial basis functions (RBFs) segmentation Algorithms Artificial Intelligence Image Enhancement Image Interpretation Computer-Assisted Imaging Three-Dimensional Pattern Recognition Automated Reproducibility of Results Sensitivity and Specificity,
97,OLS with multiple high dimensional category variables,Computational Statistics & Data Analysis,2013," A new algorithm is proposed for OLS estimation of linear models with multiple high-dimensional category variables. It is a generalization of the within transformation to arbitrary number of category variables. The approach, unlike other fast methods for solving such problems, provides a covariance matrix for the remaining coefficients. The article also sets out a method for solving the resulting sparse system, and the new scheme is shown, by some examples, to be comparable in computational efficiency to other fast methods. The method is also useful for transforming away groups of pure control dummies. A parallelized implementation of the proposed method has been made available as an R-package lfe on CRAN.",Alternating projections Fixed effect estimator Kaczmarz method Two-way fixed effects Multiple fixed effects High dimensional category variables Panel data,
98,"A case study of innovative population-based algorithms in 3D modeling: Artificial bee colony, biogeography-based optimization, harmony search",Expert Systems with Applications,1750-1762,,,
99,SLA-driven dynamic cloud resource management,Future Generation Computer Systems,2014," As the size and complexity of Cloud systems increase, the manual management of these solutions becomes a challenging issue as more personnel, resources and expertise are needed. Service Level Agreement (SLA)-aware autonomic cloud solutions enable managing large scale infrastructure management meanwhile supporting multiple dynamic requirement from users. This paper contributes to these topics by the introduction of Cloudcompaas, a SLA-aware PaaS Cloud platform that manages the complete resource lifecycle. This platform features an extension of the SLA specification WS-Agreement, tailored to the specific needs of Cloud Computing. In particular, Cloudcompaas enables Cloud providers with a generic SLA model to deal with higher-level metrics, closer to end-user perception, and with flexible composition of the requirements of multiple actors in the computational scene. Moreover, Cloudcompaas provides a framework for general Cloud computing applications that could be dynamically adapted to correct the QoS violations by using the elasticity features of Cloud infrastructures. The effectiveness of this solution is demonstrated in this paper through a simulation that considers several realistic workload profiles, where Cloudcompaas achieves minimum cost and maximum efficiency, under highly heterogeneous utilization patterns.",Service Level Agreement Cloud computing Quality of service Monitoring,
100,A cascaded genetic algorithm for efficient optimization and pattern matching,Image and Vision Computing,2002,"A modified genetic algorithm (GA) based search strategy is presented here that is computationally more efficient than the conventional GA. Here the idea is to start a GA with the chromosomes of small length. Such chromosomes represent possible solutions with coarse resolution. A finite space around the position of solution in the first stage is subject to the GA at the second stage. Since this space is smaller than the original search space, chromosomes of same length now represent finer resolution. In this way, the search progresses from coarse to fine solution in a cascaded manner. Since chromosomes of small length are used at each stage, the overall approach becomes computationally more efficient than a single stage algorithm with the same degree of final resolution. The effectiveness of the proposed GA has been demonstrated for the optimization of some synthetic functions and on pattern recognition problem namely dot pattern matching and object matching with edge map.",Genetic algorithm Search technique Chromosome Mutation Optimization Dot pattern matching Pattern recognition,
101,Efficient cellular automaton segmentation supervised by pyramid on medical volumetric data and real time implementation with graphics processing unit,Expert Systems with Applications,2011,"In surgery simulation, the extracted tissue data can be operated repeatedly in a Virtual-reality (VR) system which provides a good alternative to classical training method. Fully automated segmentation techniques cannot guarantee the efficiency and precision in general case. This paper describes a user interactive segmentation method: given a labeled 2D image plane in Multi-Planar Reformation (MPR), the rest tissues are segmented automatically by a cellular automaton in multi-scale domain. Labels image generated in higher level Gaussian pyramid can be extended to lower level ones according to selected resolution. An edge indicator function is also set to avoid over-segmentation in Laplacian pyramid. The evolution can be observed and guided with volume rendering results. The proposed method shows the merits of higher precision, real time response in GPU framework and few interactions are required.",Interactive segmentation Cellular automaton (CA) Pyramid Multi-Planar Reformation Tissues extraction,
102,Parallel computing for fringe pattern processing: A multicore CPU approach in MATLAB® environment,Optics and Lasers in Engineering,2009,"In the process of measurements such as optical interferometry and fringe projection, an important stage is fringe pattern analysis. Many advanced fringe analysis algorithms have been proposed including regularized phase tracking (RPT), partial differential equation based methods, wavelet transform, Wigner–Ville distribution, and windowed Fourier transform. However, most of those algorithms are computationally expensive. MATLAB® is a general algorithm development environment with powerful image processing and other supporting toolboxes. It is also commonly used in photomechanical data analysis. With rapid development of multicore CPU technique, using multicore computer and MATLAB® is an intuitive and simple way to speed up the algorithms for fringe pattern analysis. The paper introduces two acceleration approaches for fringe pattern processing. The first approach is task parallelism using multicore computer and MATLAB® parallel computing toolbox. Since some algorithms are embarrassing problems, our first approach makes use of this characteristic to parallelize these algorithms. For this approach, parallelized windowed Fourier filtering (WFF) algorithm serves as an example to show how parallel computing toolbox accelerates the algorithm. Second, data parallelism using multicore computer and MATLAB® parallel computing toolbox is proposed. A high level parallel wrapping structure is designed, which can be used for speeding up any local processing algorithms. WFF, windowed Fourier ridges (WFR), and median filter are used as examples to illustrate the speedup. At last, the results show that the parallel versions of former sequential algorithm with simple modifications achieve the speedup up to 6.6 times.",Parallel computing Fringe pattern analysis MATLAB® parallel computing toolbox Windowed Fourier transform,
103,Digital filter implementation over FPGA platform with LINUX OS,Procedia Engineering,2012,"The embedded processors on FPGA's are a good tool to specific propose works. In this work we present how the FPGA is used to apply a Sobel filter to a set of images, also the step needed to set-up the entire system is described. An embedded processor, with a Linux distribution implemented is used to run a special compilation of C filter program, the filter is compared with the results obtained with a PC running the same filter, in the embedded system all the process runs in the FPGA and the exit file can be accessed by ftp or http server embedded into the Linux system.",C Digital filter FPGA Image process,
